id_asegurado,segmento,ciudad,antiguedad_meses,score_cliente,telefono,en_lista_restrictiva,numero_polizas,reclamos_ultimos_12_meses,mora_actual
A00437,Corporativo,Santo Domingo,55,506,0982286705,False,2,5,True
A00438,Corporativo,Portoviejo,179,578,0928424464,False,2,3,False
A00439,Masivo,Riobamba,151,545,0942542167,False,1,4,False
A00440,Masivo,Portoviejo,58,538,0917045237,False,1,2,False
A00441,Masivo,Loja,85,783,0923494908,False,1,2,False
A00442,Preferente,Quito,141,461,0964614193,False,1,1,False
A00443,Pyme,Santo Domingo,167,504,0948553376,False,1,3,False
A00444,Corporativo,Manta,166,360,0922007214,False,1,1,False
A00445,Preferente,Portoviejo,10,479,0966087572,False,1,1,False
A00446,Preferente,Quito,102,807,0935006323,False,2,3,False
A00447,Corporativo,Quito,3,605,0986230551,False,1,0,False
A00448,Masivo,Machala,73,765,0996075494,False,1,0,False
A00449,Pyme,Cuenca,130,779,0946619573,False,2,7,True
A00450,Preferente,Guayaquil,85,466,0971594457,False,2,3,False
A00451,Corporativo,Cuenca,4,645,0949597485,False,1,1,True
A00452,Preferente,Cuenca,157,715,0967405358,False,2,6,False
A00453,Corporativo,Guayaquil,103,397,0934800912,False,2,4,False
A00454,Preferente,Santo Domingo,83,554,0910916723,False,2,7,False
A00455,Corporativo,Loja,61,757,0945835371,False,1,1,True
A00456,Corporativo,Manta,150,886,0911534878,False,2,2,False
A00457,Corporativo,Machala,178,541,0918338186,False,1,2,False
A00458,Masivo,Santo Domingo,79,463,0964414096,False,1,0,False
A00459,Corporativo,Guayaquil,164,602,0959330907,False,2,2,False
A00460,Preferente,Ambato,35,789,0930560218,False,1,5,False
A00461,Pyme,Riobamba,96,725,0983717007,False,1,4,False
A00462,Pyme,Portoviejo,171,523,0943214247,False,1,2,True
A00463,Masivo,Portoviejo,115,840,0958557943,False,1,2,False
A00464,Masivo,Riobamba,29,363,0983504237,False,2,4,False
A00465,Preferente,Riobamba,138,453,0932083803,False,1,2,False
A00466,Corporativo,Portoviejo,114,419,0937568520,False,2,2,False
A00467,Pyme,Guayaquil,131,756,0917467311,False,2,8,False
A00468,Pyme,Cuenca,132,725,0971310453,False,1,2,False
A00469,Masivo,Portoviejo,119,615,0912921981,False,1,4,True
A00470,Pyme,Manta,1,523,0987619624,False,1,1,False
A00471,Masivo,Quito,109,652,0918557710,False,2,2,False
A00472,Masivo,Guayaquil,121,332,0948532662,False,1,1,False
A00473,Pyme,Cuenca,35,730,0960259293,False,1,2,True
A00474,Pyme,Santo Domingo,97,684,0920770971,False,2,3,True
A00475,Preferente,Machala,31,482,0982109613,False,2,3,False
A00476,Pyme,Portoviejo,33,528,0910466177,False,1,0,False
A00477,Masivo,Manta,119,857,0966925500,False,2,4,False
A00478,Pyme,Ambato,64,771,0956460773,False,2,5,False
A00479,Preferente,Manta,49,415,0914324134,False,1,0,False
A00480,Pyme,Riobamba,5,546,0937659807,False,2,3,False
A00481,Masivo,Guayaquil,153,334,0969920305,False,2,3,False
A00482,Masivo,Ambato,12,711,0968916591,False,2,3,False
A00483,Preferente,Portoviejo,56,357,0928808678,False,2,2,False
A00484,Corporativo,Ambato,148,626,0987507357,False,2,2,False
A00485,Corporativo,Ambato,78,446,0998612211,False,1,2,True
A00486,Preferente,Loja,77,581,0918181595,False,2,2,False
A00487,Preferente,Loja,143,807,0916292676,False,2,2,False
A00488,Corporativo,Loja,135,626,0965878146,False,1,0,False
A00489,Pyme,Cuenca,77,685,0934679818,False,2,5,False
A00490,Pyme,Ambato,58,607,0929374563,False,2,5,False
A00491,Pyme,Quito,144,722,0965902739,False,1,4,False
A00492,Preferente,Loja,63,561,0937291394,False,1,1,False
A00493,Corporativo,Guayaquil,116,679,0922410307,False,2,2,False
A00494,Preferente,Quito,69,686,0991197624,False,1,0,False
A00495,Masivo,Guayaquil,49,872,0939127464,False,1,0,False
A00496,Pyme,Ambato,86,610,0912058055,False,2,1,False
A00497,Preferente,Ambato,31,790,0942560305,False,2,1,False
A00498,Preferente,Loja,62,865,0953166435,False,2,2,False
A00499,Corporativo,Loja,120,846,0997069904,False,1,2,False
A00500,Corporativo,Manta,67,668,0978829070,False,1,2,False
A00501,Pyme,Santo Domingo,26,780,0952980983,False,1,4,False
A00502,Preferente,Machala,81,723,0916135823,False,1,1,False
A00503,Preferente,Cuenca,5,567,0984264220,False,1,4,False
A00504,Pyme,Manta,40,500,0954273769,False,1,2,False
A00505,Preferente,Loja,146,551,0977015110,False,1,3,False
A00506,Corporativo,Manta,126,802,0971851421,False,1,0,False
A00507,Preferente,Machala,44,443,0983356206,False,2,5,False
A00508,Pyme,Cuenca,139,360,0980322629,False,1,1,False
A00509,Masivo,Guayaquil,172,349,0910856822,False,1,2,False
A00510,Pyme,Cuenca,162,536,0919122502,False,1,2,True
A00511,Preferente,Quito,56,817,0971204580,False,1,2,True
A00512,Corporativo,Quito,159,794,0998487646,False,1,2,False
A00513,Pyme,Quito,2,844,0984040345,False,1,0,True
A00514,Pyme,Quito,5,842,0946875077,False,1,1,False
A00515,Corporativo,Quito,129,740,0934060788,False,1,2,False
A00516,Masivo,Guayaquil,135,452,0942342289,False,1,0,False
A00517,Preferente,Riobamba,135,558,0957572279,False,1,3,False
A00518,Corporativo,Loja,21,682,0964496076,False,1,0,False
A00519,Pyme,Riobamba,63,531,0950261914,False,2,4,True
A00520,Masivo,Quito,24,715,0960903955,False,1,0,False
A00521,Pyme,Portoviejo,122,357,0995462880,False,1,2,False
A00522,Masivo,Cuenca,22,811,0968238367,False,2,2,False
A00523,Corporativo,Riobamba,25,840,0915711200,False,2,1,False
A00524,Preferente,Ambato,178,880,0973820568,False,1,1,False
A00525,Corporativo,Quito,20,587,0982884346,False,1,0,True
A00526,Masivo,Cuenca,81,316,0937804291,False,2,4,False
A00527,Preferente,Loja,20,606,0931803703,False,2,6,False
A00528,Preferente,Riobamba,100,853,0954524025,False,2,2,False
A00529,Pyme,Cuenca,177,380,0977215278,False,1,0,False
A00530,Corporativo,Quito,26,747,0941157840,False,1,2,False
A00531,Masivo,Machala,155,706,0953805532,False,2,6,False
A00532,Masivo,Manta,116,802,0940620216,False,2,3,False
A00533,Corporativo,Portoviejo,97,742,0934929311,False,1,3,False
A00534,Pyme,Guayaquil,159,602,0943077929,False,1,7,False
A00535,Masivo,Guayaquil,69,457,0961002735,False,1,3,True
A00536,Preferente,Loja,82,669,0924301022,False,2,4,False
A00537,Masivo,Quito,79,755,0958307308,False,1,2,False
A00538,Corporativo,Guayaquil,34,389,0935151299,False,1,0,False
A00539,Pyme,Santo Domingo,143,868,0978778646,False,1,3,False
A00540,Pyme,Guayaquil,7,391,0957501571,False,2,2,False
A00541,Masivo,Riobamba,154,632,0961705758,False,1,0,False
A00542,Masivo,Manta,106,697,0921368176,False,1,2,False
A00543,Preferente,Riobamba,134,473,0961100987,False,2,3,False
A00544,Preferente,Cuenca,69,608,0946024950,False,1,3,False
A00545,Pyme,Cuenca,17,471,0968341261,False,1,0,True
A00546,Corporativo,Loja,77,795,0920324210,False,1,4,False
A00547,Corporativo,Manta,64,807,0989699345,False,2,10,False
A00548,Preferente,Santo Domingo,28,438,0950890504,False,2,4,True
A00549,Masivo,Loja,86,689,0954230340,False,2,4,False
A00550,Pyme,Machala,111,439,0950323741,False,1,2,False
A00551,Corporativo,Riobamba,178,505,0974291599,False,2,3,False
A00552,Corporativo,Cuenca,102,626,0949117508,False,2,3,False
A00553,Pyme,Riobamba,63,633,0960473288,False,1,1,False
A00554,Corporativo,Loja,94,416,0985678734,False,2,4,False
A00555,Preferente,Riobamba,140,484,0983833059,False,2,3,True
A00556,Masivo,Santo Domingo,54,748,0949101812,False,1,2,False
A00557,Masivo,Loja,173,811,0928680305,False,1,3,False
A00558,Corporativo,Ambato,65,457,0966791272,False,1,3,False
A00559,Pyme,Guayaquil,115,790,0988147469,False,2,0,False
A00560,Pyme,Portoviejo,130,728,0982966824,False,1,4,False
A00561,Masivo,Machala,180,849,0989701163,False,1,1,True
A00562,Masivo,Guayaquil,64,663,0932325574,False,1,1,False
A00563,Masivo,Riobamba,166,709,0954506155,False,1,0,False
A00564,Pyme,Guayaquil,3,400,0944727276,False,2,2,False
A00565,Preferente,Portoviejo,133,871,0987915846,False,1,3,False
A00566,Preferente,Santo Domingo,96,700,0972151291,False,1,0,False
A00567,Preferente,Machala,7,794,0924032377,False,1,2,False
A00568,Corporativo,Loja,22,418,0929015320,False,1,1,True
A00569,Corporativo,Manta,88,766,0937765262,False,1,4,False
A00570,Pyme,Machala,122,399,0968809636,False,1,1,False
A00571,Pyme,Machala,18,607,0915997257,False,2,3,False
A00572,Masivo,Quito,88,411,0932059232,False,1,2,False
A00573,Preferente,Portoviejo,45,865,0931493051,False,1,2,False
A00574,Corporativo,Portoviejo,110,773,0941119124,False,2,3,False
A00575,Pyme,Cuenca,48,742,0963094168,False,1,1,False
A00576,Masivo,Riobamba,51,760,0989484162,False,2,1,False
A00577,Pyme,Loja,2,519,0937619925,False,1,1,False
A00578,Corporativo,Guayaquil,148,404,0982060023,False,1,2,False
A00579,Preferente,Machala,84,501,0971411378,False,1,1,False
A00580,Masivo,Manta,172,801,0980828710,False,1,1,False
A00581,Corporativo,Riobamba,100,701,0988786439,False,2,5,False
A00582,Masivo,Machala,91,768,0992861016,False,1,2,False
A00583,Preferente,Manta,158,386,0927978165,False,2,2,True
A00584,Corporativo,Guayaquil,62,612,0925696616,False,2,2,False
A00585,Preferente,Machala,178,444,0978561753,False,2,4,False
A00586,Pyme,Loja,153,441,0987149161,False,1,0,False
A00587,Pyme,Loja,48,798,0995295586,False,2,4,False
A00588,Preferente,Portoviejo,43,801,0948766747,False,2,2,False
A00589,Preferente,Cuenca,81,761,0993135800,False,2,3,False
A00590,Masivo,Machala,3,796,0928325379,False,1,1,True
A00591,Preferente,Loja,144,817,0997653539,False,2,5,False
A00592,Pyme,Loja,176,803,0965784972,False,2,1,False
A00593,Pyme,Santo Domingo,43,384,0985886408,False,1,3,False
A00594,Masivo,Ambato,75,333,0946890134,False,1,3,False
A00595,Preferente,Portoviejo,74,472,0971380637,False,2,1,True
A00596,Pyme,Portoviejo,131,415,0986868379,False,1,3,False
A00597,Masivo,Manta,140,675,0982751830,False,2,1,False
A00598,Masivo,Santo Domingo,140,523,0967063296,False,1,1,False
A00599,Masivo,Ambato,77,333,0970362053,False,2,3,False
A00600,Corporativo,Machala,23,749,0925755285,False,1,0,False
